job_title,comp_name,comp_type,region,city,salary,contract,positions,years_of_experience,gender
أخصائي مبيعات,توكيلات عبدالله جارالله للتجارة والاستيراد,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,0,Male
بائع,مؤسسة الخليج العربي لقطع الغيار,خاص,Al Bahah,SHIBRIQAH,4000.0,دوام كامل,1,0,Male
مدير علاقات الأفراد,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,Riyadh,AR RIYADH,13889.0,دوام كامل,1,4,both
بائع,مؤسسة مهدي بن ناشي بن سفران الحجيلي التجارية,خاص,Madinah,AL MADINA,4000.0,دوام كامل,2,0,Male
مدخل بيانات,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,Riyadh,AR RIYADH,4444.0,دوام كامل,4,0,Male
مدخل بيانات,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,Riyadh,AR RIYADH,4800.0,دوام كامل,4,0,both
محاسب,جمعية ريادة لبناء وتطوير القدرات الشبابية,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,1,2,both
مساعد معلم,شركة اكسيل انترناشيونال انك السعودية للتعليم شركة شخص واحد,خاص,Eastern Region,DHAHRAN,5000.0,دوام كامل,10,2,Female
موظف استقبال,مشغل زاوية أطياف للتزيين النسائي,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Makkah,MAKKAH AL,6000.0,دوام كامل,50,0,both
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Al Qassim,BURAYDAH,6000.0,دوام كامل,50,0,Male
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Madinah,AL ULA,6000.0,دوام كامل,20,0,both
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Najran,NAJRAN,6000.0,دوام كامل,50,0,both
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Hail,HAIL,6000.0,دوام كامل,50,0,both
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,Makkah,AT TAIF,6000.0,دوام كامل,50,0,both
فني أشعة,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,Najran,NAJRAN,5000.0,دوام كامل,1,0,Female
أخصائي تقنية إشعاعية,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,Najran,NAJRAN,7000.0,دوام كامل,1,0,Female
فني مختبر طبي,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,Najran,NAJRAN,5000.0,دوام كامل,2,0,Female
مشرف صحة وسلامة مهنية,شركة الراجح الحديثة للمقاولات المحدودة,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,2,Male
أمين صندوق,شركة الراجح الحديثة للمقاولات المحدودة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,2,Male
مندوب مبيعات,شركة المطهرات الخليجية المحدودة شركة شخص واحد,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,1,2,both
أخصائي تسويق,مؤسسة علاء محمد علوي خرد للتطوير العقاري,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,1,0,Female
محاسب,شركة التقنية الحديثة لصيانة الالكترونيات,خاص,Makkah,JEDDAH,5000.0,دوام كامل,1,2,both
مساعد طبيب أسنان,مجمع عنايه المتخصص لطب الاسنان,خاص,Madinah,AL MADINA,4500.0,دوام كامل,2,0,Female
موظف استقبال,شركة إكال لتقديم الوجبات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
محاسب,شركة بوان للصناعات المعدنية   شركـة شـخـص واحـد,خاص,Eastern Region,AD DAMMAM,4500.0,دوام كامل,1,0,Male
سائق شاحنة ثقيلة,شركة ماجد مرشد مريشيد الحربي للمقاولات,خاص,Madinah,YANBU,4500.0,دوام كامل,5,2,Male
مساعد إداري,شركة ماجد مرشد مريشيد الحربي للمقاولات,خاص,Madinah,YANBU,4000.0,دوام كامل,1,0,Female
أخصائي عمليات موارد بشرية,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
أخصائي تسويق,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
مدير توظيف,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
مندوب مبيعات,مؤسسة صالح عبدالله الجهني للتجارة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,0,Male
محاسب,مؤسسة نخبة حبيبه للحلويات,خاص,`Al Jowf`,TUBARJAL,4000.0,دوام كامل,1,0,both
أخصائي مختبرات طبية,مجمع المسعودي الاول,خاص,Riyadh,UMM TALHA,5000.0,دوام كامل,2,0,Female
سكرتير تنفيذي,شركةاحمدعبدالرحمن النويصر,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,Male
سكرتير,مجمع المسعودي الاول,خاص,Riyadh,UMM TALHA,4000.0,دوام كامل,1,0,Female
أخصائي مبيعات,شركة حسين عبدالرحمن السماعيل للصناعة,خاص,Eastern Region,AD DAMMAM,5625.0,دوام كامل,3,2,both
سائق حافلة,مؤسسة عبدالله علي محسن حدادي للخدمات اللوجستية,خاص,Riyadh,AR RIYADH,9200.0,دوام كامل,10,0,Male
محاسب,مؤسسة شريان حائل للمقاولات العامة,خاص,Hail,HAIL,3000.0,دوام كامل,2,4,both
أخصائي عمليات موارد بشرية,مؤسسة سوزان محمد علي القيسي للمقاولات العامة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,4,Female
صيدلي,فرع شركة زد ام سي للتجارة,خاص,Makkah,AL QUNFID,5000.0,دوام كامل,4,0,Male
فني تمريض,فرع شركة زد ام سي للتجارة,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,5,0,Female
معلم ابتدائي لغة أجنبية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,Riyadh,AR RIYADH,5600.0,دوام كامل,7,0,both
معلم ابتدائي تربية فنية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,Riyadh,AR RIYADH,5600.0,دوام كامل,6,0,both
معلم مرحلة متوسطة لغة عربية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,Riyadh,AR RIYADH,5600.0,دوام كامل,5,0,both
مدرس لغة أجنبية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,Riyadh,AR RIYADH,5600.0,دوام كامل,6,2,both
بائع,مؤسسة بسمه سعد الغامدي لتجارة الجملة و التجزئة,خاص,Al Bahah,BILJURASH,4000.0,دوام كامل,1,0,Male
بائع,مؤسسة تصميم الخزامى التجارية,خاص,Riyadh,HAWTAT BA,4000.0,دوام كامل,1,0,Male
مشرف تنظيف وتدبير,شركة أبراج العاليات للمقاولات,خاص,Jazan,ABU AS SA,4500.0,دوام كامل,1,2,Male
مشرف صحة وسلامة مهنية,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,5,0,Male
سائق شاحنة صغيرة,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,Riyadh,AR RIYADH,4800.0,دوام كامل,10,0,Male
أخصائي تسويق,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,خاص,Al Bahah,AL BAHA,8803.0,دوام كامل,1,0,both
فني ميكانيكي محركات,مؤسسة جازي  للمقاولات,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,0,Male
أخصائي عمليات موارد بشرية,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,خاص,Al Bahah,AL BAHA,8803.0,دوام كامل,1,0,both
فني كهربائي أنظمة حماية كهربائية,مؤسسة جازي  للمقاولات,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,2,Male
مساعد صحي,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,3,0,Female
أخصائي مختبرات طبية,مجمع إيلاف الطبي,خاص,Makkah,AL WATAH,7000.0,دوام كامل,2,0,Female
أخصائي مختبرات طبية,شركة العناية والرعاية الطبية شركة شخص واحد,خاص,`Al Jowf`,AL QURAYY,5000.0,دوام كامل,1,0,Female
فني هندسة إلكترونية,شركة أمن وسلامه للمقاولات,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,1,0,both
أخصائي مبيعات,محل فوق المتوقع للهدايا,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,2,Female
بائع مأكولات ومشروبات,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,10,0,both
محاسب,شركة العهد الجديد للتجارة والتسويق,خاص,Riyadh,AR RIYADH,4000.0,عمل عن بعد,1,2,Female
مندوب مبيعات,شركة العهد الجديد للتجارة والتسويق,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,2,2,both
طبيب أسنان عام,شركة العاج الطبية,خاص,Eastern Region,AL KHUBAR,7000.0,دوام كامل,2,0,both
محاسب تكاليف,ورشة حسن علي آل ربح للحدادة والالمنيوم,خاص,Eastern Region,AL QATIF,4000.0,دوام كامل,3,0,both
موظف استقبال,مركز أقوي عضلة الرياضي,خاص,Al Qassim,AL BADAI',4000.0,دوام كامل,1,0,Male
مراقب مالي,شركةازياء التجزئة التجارية,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,1,0,Male
قهوجي,مقهى الكرز بلوم لتقديم المشروبات,خاص,Madinah,ABA AL BA,4000.0,دوام كامل,1,2,Male
بائع,مؤسسة قمة الهرم التجارية,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,4,4,both
محاسب,فر مؤسسة غربي عبدالله محمد الشدادي للمقاولات العامة فرع تأجي,خاص,Makkah,AL QUNFID,4500.0,دوام كامل,3,2,Female
حارس أمن,مركز الغربي للمفروشات الراقية,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,3,4,Male
مشرف عقار,مؤسسه غربي عبدالله محمد الشدادي للمقاولات العامه,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,3,4,Male
فني صيانة ميكانيكية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,Eastern Region,AL QATIF,5700.0,دوام كامل,1,0,Male
ميكانيكي مصاعد,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,Eastern Region,AL QATIF,5700.0,دوام كامل,1,2,Male
فني كهربائي أنظمة حماية كهربائية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,Eastern Region,AL QATIF,5700.0,دوام كامل,1,0,Male
فني كهربائي أنظمة حماية كهربائية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,Makkah,MAKKAH AL,5700.0,دوام كامل,1,0,Male
أمين مكتبة,شركه التقوى للتربيه والتعليم والتدريب المحدوده,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,3,0,Male
محضر أطعمة باردة,مطعم مذاق الشرفة لتقديم الوجبات,خاص,Eastern Region,AL KHUBAR,5000.0,دوام كامل,5,0,both
طاهي,مطعم مذاق الشرفة لتقديم الوجبات,خاص,Eastern Region,AL KHUBAR,6000.0,دوام كامل,5,2,both
موظف صندوق محاسبة,مطعم مذاق الشرفة لتقديم الوجبات,خاص,Eastern Region,AL KHUBAR,5000.0,دوام كامل,5,0,both
عامل كاونتر مأكولات ومشروبات,مطعم مذاق الشرفة لتقديم الوجبات,خاص,Eastern Region,AL KHUBAR,5000.0,دوام كامل,3,0,both
معلم رياض أطفال,الشركة العالمية لتطوير المهارات,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,5,4,Female
معلم صعوبات التعلم,شركة ابناء المجد الاهليه,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,3,0,Male
أخصائي تسويق,مؤسسة البرمجة الرائدة لخدمات الاتصالات,خاص,Eastern Region,AD DAMMAM,4000.0,دوام كامل,2,0,Female
بائع,محل بيت العائلة للاواني المنزلية,خاص,Jazan,AL 'AYDAB,3200.0,دوام كامل,1,0,Male
محاسب,نادي الحجاز الرياضي ببلجرشي,خاص,Al Bahah,BILJURASH,4000.0,دوام كامل,1,0,Female
أخصائي سمعيات,مجمع شفاء طيبة الطبي,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,0,Female
موظف استقبال,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,2,0,Female
مندوب مبيعات,مؤسسة لوبا المتطورة التجارية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,2,Male
أخصائي تسويق,مؤسسة السابع و الثلاثون لتنظيم المعارض والمؤتمرات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,both
أخصائي مبيعات,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,Eastern Region,AL MUBARR,6000.0,دوام كامل,1,0,Male
أخصائي خدمة عملاء,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,Eastern Region,AL KHUBAR,6000.0,دوام كامل,2,2,Female
فني كهربائي تمديدات كهربائية,شركة الساعد الدولية المحدودة,خاص,Riyadh,AR RIYADH,5700.0,دوام كامل,1,2,Male
مهندس مدني,شركة الساعد الدولية المحدودة,خاص,Riyadh,AR RIYADH,10000.0,دوام كامل,1,2,Female
مدير مطعم,مؤسسة قدور نجد لخدمات الاعاشة,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,2,2,both
أخصائي مبيعات,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,Eastern Region,AL KHUBAR,6000.0,دوام كامل,2,0,Male
سكرتير,مركز إجادة السلامة للتدريب,خاص,Makkah,JEDDAH,6000.0,دوام كامل,1,0,Male
موظف استقبال,مؤسسة تصاميم المستقبل للديكور,خاص,Eastern Region,AD DAMMAM,3500.0,دوام كامل,1,0,Female
سكرتير,شركة عراقة للتقييم العقاري شركة شخص واحد,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,1,2,both
أخصائي تسويق,شركة ذات الهمة التجارية (شركة شخص واحد),خاص,Eastern Region,AD DAMMAM,4500.0,دوام كامل,1,2,Female
بائع,مؤسسة الفا بيتا لتقنية المعلومات,خاص,Eastern Region,AL QATIF,4000.0,دوام كامل,1,0,Male
مدير مقهى,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,Al Qassim,BURAYDAH,6000.0,دوام كامل,2,4,both
مشرف إنتاج,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,20,4,both
قهوجي,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,5093.0,دوام كامل,50,2,both
أخصائي مستودعات,مؤسسة رؤية المتقدمة للتجارة,خاص,Makkah,JEDDAH,5000.0,دوام كامل,1,0,Male
مدير مقهى,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,20,4,both
مهندس معماري,شركة مشراف المدائن للمقاولات,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,3,2,both
مهندس سلامة وصحة مهنية,شركة مشراف المدائن للمقاولات,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,3,2,Male
أخصائي تسويق,مؤسسة طيبات الجزيرة للحوم,خاص,Eastern Region,AD DAMMAM,4000.0,دوام كامل,3,0,Female
أمين صندوق,مؤسسة طيبات الجزيرة للحوم,خاص,Eastern Region,AD DAMMAM,4000.0,دوام كامل,2,0,Female
مندوب مبيعات,مصنع جيني للعطور ومستحضرات التجميل,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,3,0,Female
أخصائي مشتريات,شركة مصنع دار النعايم للصناعات الغذائية,خاص,Riyadh,AR RIYADH,5800.0,دوام كامل,2,2,Male
مندوب مبيعات,مصنع جيني للعطور ومستحضرات التجميل,خاص,Riyadh,ABA ASLAB,5000.0,دوام كامل,1,0,Male
مشرف عقار,مؤسسة البطان للمقاولات العامة,خاص,Makkah,AL LITH,4000.0,دوام كامل,5,7,Male
قائد مدرسة,شركة مدارس الرواد العالمية,خاص,Riyadh,AR RIYADH,9000.0,دوام كامل,1,4,Female
أخصائي نفسي,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,خاص,Makkah,JEDDAH,4000.0,دوام كامل,5,0,both
أخصائي نفسي,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,5,0,both
نجّار,شركة الجزيره للتجاره والتصنيع المحدوده,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,2,Male
مليّس,شركة الجزيره للتجاره والتصنيع المحدوده,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,Male
موظف صندوق محاسبة,مؤسسة الرجل أنيق التجارية,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,3,7,Male
حارس أمن,مؤسسة الرجل أنيق التجارية,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,3,10,Male
أخصائي صحة وسلامة مهنية,الشركة العربية للاستثمارات  الزراعيه والحيوانيه,خاص,Riyadh,AL KHARJ,5625.0,دوام كامل,2,0,Male
محاسب,شركة رسو الشرق التجارية,خاص,Eastern Region,AD DAMMAM,6000.0,دوام كامل,1,2,Male
مشرف صيانة,شركة الراجح الحديثة للمقاولات المحدودة,خاص,Madinah,AL MADINA,6000.0,دوام كامل,1,2,both
مساعد صحي,مستشفى دله فرع شركة دله للخدمات الصحيه,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,5,0,both
بائع ساعات,شركة ركن الثواني التجارية,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,10,0,Male
مساعد إداري,مؤسسة بيتكم لتقنية المعلومات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,both
فني تنقية مجاري صرف صحي,شركة صالح حسين سالم ال سلامه وشريكه,خاص,Riyadh,ABA ASLAB,5000.0,دوام كامل,1,0,both
فني ميكانيكي محركات,شركة صالح حسين سالم ال سلامه وشريكه,خاص,Riyadh,ABA ASLAB,5000.0,دوام كامل,1,0,both
فني صيانة أجهزة إلكترونية,شركة صالح حسين سالم ال سلامه وشريكه,خاص,Riyadh,ABA ASLAB,5000.0,دوام كامل,1,0,both
أخصائي إعلامي,المعهد العالي السعودي الياباني للسيارات,خاص,Makkah,JEDDAH,5000.0,دوام كامل,1,2,Male
محاسب,شركة نجد للمقاولات شركة شخص واحد,خاص,Hail,HAIL,6000.0,دوام كامل,1,0,Male
معد وجبات سريعة,مطعـم الوجوه الاربعه لتقديم الوجبات,خاص,Riyadh,AR RIYADH,5200.0,دوام كامل,1,0,Male
مهندس كهربائي,مكتب الإبداع الحديث للاستشارات الهندسية,خاص,Makkah,JEDDAH,8000.0,دوام كامل,1,10,both
مهندس مدني,شركة حمزة محمد الديري للمقاولات,خاص,Makkah,JEDDAH,7000.0,دوام كامل,2,2,Male
أخصائي مبيعات,مكتب سيجما الكفاءات للاستقدام,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,0,Female
مهندس كهربائي,شركة الهضب للتجارة والمقاولات,خاص,Makkah,JEDDAH,8500.0,دوام كامل,2,2,Male
فني علوم أغذية,شركة سنا المدينة للتمور,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,2,both
منسق زهور,شركة ذات الهمة التجارية (شركة شخص واحد),خاص,Eastern Region,AD DAMMAM,4500.0,دوام كامل,1,2,Female
مندوب مبيعات,شركة عيون الدار للصناعة شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,both
نادل,مطعم استراحة البساتين لتقديم الوجبات,خاص,Jazan,SABYA,3600.0,دوام كامل,3,0,Female
أخصائي تمريض,مجمع بلسم علاج الطبي العام,خاص,Makkah,AL KHURMA,6000.0,دوام كامل,2,4,both
موظف صندوق محاسبة,ديوانية مركاز الشيوخ,خاص,Makkah,AL QUNFID,4000.0,دوام كامل,5,4,Female
بائع,محل تاج الطفولة لالعاب الأطفال,خاص,Makkah,AL QAWZ,4000.0,دوام كامل,5,4,Female
موظف صندوق محاسبة,مطعم الينا لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,4,Female
مندوب مبيعات,شركة الورده المتميزه الصناعية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,4,0,Male
محامي,مجموعة البارقة للتشغيل والصيانة,خاص,Eastern Region,AD DAMMAM,6000.0,دوام كامل,1,2,Female
مدير عمليات تشغيل,مجموعة البارقة للتشغيل والصيانة,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,3,4,both
مهندس معماري داخلي,شركة اساس الحفر للمقاولات العامة,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,1,2,Female
معلم رياض أطفال,مركز النجوم العالية ضيافة الأطفال الأهلية,خاص,Eastern Region,AD DAMMAM,7500.0,دوام كامل,1,12,Female
حارس أمن,شركة عجائب البحار للمشروعات السياحيه والترفيهيه,خاص,Makkah,JEDDAH,4408.0,دوام كامل,10,0,Male
مهندس مدني,شركة اساس الحفر للمقاولات العامة,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,2,2,both
بائع هاتفي,شركة جوين العالمية المحدودة,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,10,0,both
أمين متجر,شركة جوين العالمية المحدودة,خاص,Riyadh,ABA ASLAB,5500.0,دوام كامل,10,0,both
مدير طباعة ونشر,مؤسسة فاطمه سعيد صالح خلف للقرطاسية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,both
بائع,فرع شركة متجر راحتي التجارية,خاص,Al Qassim,BURAYDAH,4000.0,دوام كامل,7,0,Male
بائع,فرع متجر راحتي التجارية,خاص,Hail,HAIL,4000.0,دوام كامل,3,0,Male
فني مختبر طبي,مجمع العرجان الطبي,خاص,Tabuk,TABUK,5000.0,دوام كامل,2,0,both
بائع,شركة المشرق الذهبي المحدودة (شركة شخص واحد),خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,0,Male
محاسب,شركه عبداللطيف احمد العرفج وشريكه بيع مواد غذائية,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,4,2,Male
بائع,مؤسسة محمود عبد الخالق سعيد قاسم التجارية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,2,Male
فني مختبر طبي,مجمع الخريف الطبي,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,2,0,both
مبرمج قاعدة بيانات,الشركه السعوديه لصناعة المكيفات المحدوده,خاص,Makkah,JEDDAH,7500.0,دوام كامل,5,2,Male
عامل تصنيع,الشركه السعوديه لصناعة المكيفات المحدوده,خاص,Makkah,JEDDAH,4083.0,دوام كامل,15,0,Male
مهندس معماري,شركة مجموعة الفؤاد للتجارة والمقاولات المحدودة,خاص,Makkah,MAKKAH AL,7000.0,دوام كامل,2,0,Male
موظف صندوق محاسبة,مؤسسة متحف الغذاء للتجارة,خاص,Madinah,AL MADINA,4000.0,دوام كامل,2,0,both
أخصائي تسويق,شركة انكر اليابان,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,2,2,both
فني نظم حاسب آلي,مؤسسة الكيان للمياه والمشروبات الغازية,خاص,Madinah,AL JURF,4000.0,عمل عن بعد,1,0,Female
مدير فرع,محل لحظة لقى لتقديم المشروبات,خاص,Riyadh,AR RIYADH,6500.0,دوام كامل,1,0,both
أخصائي تسويق,مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,خاص,Eastern Region,AL KHUBAR,7000.0,دوام كامل,2,2,both
مصمم جرافيك,مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,خاص,Eastern Region,AL KHUBAR,12000.0,دوام كامل,2,2,both
فني مختبر طبي,مجمع عيادات دار العلاج,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,3,2,both
موظف صندوق محاسبة,مطعم دجاج بيك للوجبات السريعة,خاص,Tabuk,HAQL,4000.0,دوام كامل,1,2,Male
محامي,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,1,0,Male
محامي,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,1,4,Female
مدير خدمة العملاء,شركة  الشرق المتحدة لتأجير السيارات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,both
محامي,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,خاص,Riyadh,AR RIYADH,10000.0,دوام كامل,1,4,Female
مندوب مبيعات,شركة بوا للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,0,Female
أخصائي قانوني,شركة الضبيب والسليم لاصحابها خليفه الضبيب وحمد السليم,خاص,Eastern Region,AL KHUBAR,5000.0,دوام كامل,1,0,both
مساعد إداري,مصنع شركة صابر لإنتاج الزجاج,خاص,Eastern Region,AD DAMMAM,4600.0,دوام كامل,4,0,Female
مدير عمليات موارد بشرية,شركـة نون التعليمية لتقنية المعلومات,خاص,Riyadh,AR RIYADH,8496.0,دوام كامل,1,4,both
مندوب مبيعات,شركة بوا للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,0,both
معالج صحة فم وأسنان,عيادة رامي محمد سعيد ابراهيم حسنين لطب الاسنان,خاص,Makkah,GHITHAH,5000.0,دوام كامل,1,0,Female
أخصائي تسويق,مجموعة البارقة للتشغيل والصيانة,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,4,2,both
مدخل بيانات,مكتب خيارك الوحيد للخدمات العامة,خاص,Al Bahah,AL AQIQ,4000.0,دوام كامل,2,0,both
مدير مكتب,مكتب محمد الخليوي محامون ومستشارون قانونيون,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,1,0,both
أخصائي أنشطة ثقافية,الجمعية الخيرية لرعاية الايتام بمكة المكرمة,خاص,Makkah,MAKKAH AL,6000.0,دوام كامل,1,0,both
محاسب,مؤسسة سلاسل بابل للمقاولات,خاص,other,ABU TARFA,4000.0,دوام كامل,3,0,Female
مساعد طبيب أسنان,مجمع سلامتك لطب الاسنان الطبي المتخصص فرع شركةخالد عبداللةكدسةوشركاه,خاص,Makkah,JEDDAH,4500.0,دوام كامل,6,0,Female
محصل,شركة رحابة العقارية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
وسيط عقاري,شركة رحابة العقارية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,Male
وسيط عقاري,شركة رحابة العقارية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
عامل كاونتر مأكولات ومشروبات,مؤسسة قدور نجد لخدمات الاعاشة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,3,0,both
مدير خدمات أطعمة ومشروبات,مؤسسة قدور نجد لخدمات الاعاشة,خاص,Makkah,JEDDAH,6000.0,دوام كامل,1,2,both
مدير إداري,شركة خالد بن عبدالعزيز الملحم وشركاؤه للاستشارات الهندسية,خاص,Eastern Region,AD DAMMAM,6000.0,دوام كامل,1,10,Male
عامل كاونتر مأكولات ومشروبات,مؤسسة قدور نجد لخدمات الاعاشة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,5,0,both
بائع,شركة مدار الفكرة للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,Female
موظف استقبال,مؤسسة قوة اللمعة للسيارات,خاص,Makkah,MAKKAH AL,4500.0,دوام كامل,1,0,both
